angDist,match_file,id,aic_flare,chi_flare,dof_flare,red_flare,aic_gauss,chi_gauss,dof_gauss,red_gauss,exp_comp,perc_comp,fl_indx,equivdur,ra,dec,xpos,ypos,flare_time,end_time,flare_end_diff,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.082932,ztf_000539_zr_c01_q1_match_programid,3687,21.348352294162204,13.348352352703293,29,0.4602880121621825,51.4078028356153,43.40780320112673,29,1.4968208000388528,3367648.4543233514,30.059450541453096,[87 88 89],199.60756323737897,287.7863657,9.6365507,2667.85,442.017,58334.2321412,58334.298588,0.06459489999542711,287.7863887407202,9.6365545320890,0.006,0.006,90,4309159963894215552,287.78639575136,0.1737,9.63654075647,0.1917,1.8337,0.2266,1.605,0.371,-3.199,0.358,0,7.35290e+02,1.60362e+00,18.522219,9.04066e+01,6.88542e+00,20.460888,1.01067e+03,1.49020e+01,17.250400,3.210487,,,0,,,,,
0.021568,ztf_000539_zr_c01_q1_match_programid,52587,122.68983961728162,114.68983993253241,90,1.2743315548059155,357.7683622530868,349.7683647697274,90,3.886315164108082,1.1134035388796064E51,235.0785226358052,[70 71 72 73 74 75 76],1163.2628402920523,287.9546041,9.2010722,2054.776,1981.691,58334.2164583,58334.298588,0.07659729999431875,287.9546077577824,9.2010674190287,0.005,0.005,90,4308923122216965632,287.95460812126,0.1562,9.20103411173,0.1516,2.7643,0.1760,0.083,0.345,-7.736,0.300,0,1.10170e+03,1.77382e+00,18.083206,1.59611e+02,7.77185e+00,19.843730,1.53219e+03,5.12323e+00,16.798635,3.045095,,,0,,,,,
1.314513,ztf_000539_zr_c01_q2_match_programid,4240,125.77485370010749,117.77485264764209,34,3.4639662543424143,40.31999510641488,32.319995210203174,34,0.9505880944177404,2.7778783976795186E-19,-85.4548585936926,[45 46 47 48],2100.381694612327,287.0514626,9.6496882,2167.51,425.283,58334.2146065,58334.298588,0.0812036999996053,287.0511005494565,9.6496111834692,0.024,0.022,90,4309195393083946496,287.05109166499,0.7218,9.64957698544,0.7618,1.1372,1.1460,-2.034,1.531,-7.943,1.396,0,1.96523e+02,1.20089e+00,19.954832,3.06802e+01,6.48797e+00,21.634241,4.27003e+02,1.54658e+01,18.185843,3.448399,,,0,,,,,
0.043567,ztf_000539_zr_c01_q2_match_programid,11026,8080.0262308943975,8072.026296653219,61,132.32829994513475,25898.97040975247,25890.97051251471,61,424.4421395494214,Infinity,17818.944178858073,[112 113 114 115 116],27970.683198794966,287.4892305,9.4667508,632.446,1058.461,58334.2552083,58334.298588,0.03968750000058208,287.4892195654558,9.4667562885349,0.003,0.002,0,4309132961431248640,287.48921956546,2.1844,9.46675628853,2.5402,,,,,,,1,2.05964e+03,2.19919e+01,17.403889,2.37175e+02,1.64511e+01,19.413715,3.25160e+03,1.18310e+01,15.981677,3.432038,,,0,,,,,
0.160867,ztf_000539_zr_c01_q2_match_programid,12005,23.45652891028942,15.456529011084,29,0.5329837590028965,20.197940510386893,12.197940596471538,29,0.42061864125763926,0.1960679100428823,-3.2585883999025285,[109 110 111],99.41488152713546,287.2325125,9.4394757,1531.683,1166.083,58334.2552083,58334.298588,0.04152780000003986,287.2325303990334,9.4395167488044,0.008,0.007,90,4309174429341380352,287.23253084804,0.2306,9.43950396456,0.2161,0.0253,0.2968,0.103,0.485,-2.969,0.435,0,6.11381e+02,1.58102e+00,18.722586,8.14699e+01,1.52262e+01,20.573895,1.08448e+03,8.05491e+00,17.173870,3.400024,,,0,,,,,
0.852218,ztf_000539_zr_c01_q2_match_programid,43511,502.0943027014481,494.0942884073217,14,35.29244917195155,26.085174888253288,18.08517464928386,14,1.2917981892345616,4.324453460063208E-104,-476.0091278131948,[70 71 72],2378.506139991502,287.041245,9.6430694,2213.124,448.723,58334.2672106,58334.298588,0.02953709999565035,287.0410155493086,9.6431391815241,0.021,0.018,90,4309195461797198848,287.04100739546,0.6098,9.64310355342,0.5992,1.1460,0.7796,-1.867,1.323,-8.275,1.137,0,1.34817e+02,9.53294e-01,20.364006,8.43025e+01,2.31024e+01,20.536787,2.23529e+02,9.79235e+00,18.888586,1.648201,,,0,,,,,
1.455524,ztf_000539_zr_c01_q2_match_programid,53253,575.632123075174,567.6321078180192,10,56.763210781801924,20.19204840918045,12.192048339211548,10,1.2192048339211548,2.4418572536293083E-121,-555.4400746659936,[54 55 56],1329.1104114703744,287.0455622,9.6458182,2192.985,440.225,58334.2450579,58334.298588,0.05167829999845708,287.0454681493500,9.6454246632003,0.033,0.026,90,4309195393077714432,287.04546986448,0.9186,9.64540789112,0.8074,0.5721,1.0100,0.393,2.098,-3.895,1.681,0,1.00248e+02,1.11201e+00,20.685680,4.32624e+01,5.87169e+00,21.261110,1.77331e+02,2.46042e+01,19.139961,2.121149,,,0,,,,,
1.032314,ztf_000539_zr_c01_q2_match_programid,53259,232.838466704682,224.83846307965533,27,8.327350484431678,43.390330551396865,35.3903299167099,27,1.3107529598781444,7.275451180752343E-42,-189.44813615328513,[60 61 62 63],2424.790043276963,287.0446412,9.6452484,2197.262,441.993,58334.2496759,58334.2921296,0.03968750000058208,287.0445432606118,9.6449783907227,0.041,0.041,90,4309195393077716224,287.04452631580,1.0057,9.64495936447,0.9387,0.2964,1.2954,-3.880,2.665,-4.419,2.648,0,8.72156e+01,1.05964e+00,20.836880,8.38241e+01,3.00279e+01,20.542965,1.56780e+02,2.28591e+01,19.273691,1.269274,,,0,,,,,
0.069199,ztf_000539_zr_c01_q2_match_programid,63369,24.9588302067223,16.958830108358356,43,0.39439139786879895,37.13120702288927,29.13120679411593,43,0.6774699254445565,439.74209532988885,12.17237681616697,[76 77 78 79],425.88491720488344,287.0918391,9.6884562,2028.912,286.546,58334.2229167,58334.298588,0.07290509999438655,287.0918426147736,9.6884372927723,0.012,0.012,0,4309196011553062784,287.09186575039,0.3782,9.68842954543,0.3478,1.3664,0.4988,5.297,0.796,-1.799,0.806,0,3.22472e+02,1.16369e+00,19.417135,5.00810e+01,2.56041e+01,21.102207,5.28259e+02,2.10028e+01,17.954803,3.147404,,,0,,,,,
0.458249,ztf_000539_zr_c01_q2_match_programid,1170,16.462157114638995,8.462157184596613,26,0.3254675840229467,14.785506923544308,6.785506972484186,26,0.2609810374032379,0.432434203185074,-1.6766501910946872,[44 45 46],115.98582603490937,286.9289976,8.9045528,2571.958,3080.377,58334.2321412,58334.298588,0.06459489999542711,286.9290755393589,8.9046541610646,0.003,0.003,90,4307585944277427328,286.92902410388,0.0872,8.90458771408,0.1016,1.3543,0.1134,-11.802,0.177,-15.433,0.170,0,2.20550e+03,2.58365e+00,17.329597,6.60624e+02,1.38530e+01,18.301502,2.31405e+03,1.12563e+01,16.350988,1.950514,,,0,,,,,
